40428	12	29	10	35	30	21	41	6	15	22	32	0	19	43	8	33	17	26	2	9	36	25	4	12	7	16	42	29	37	39	14	20	5	1	11	34	38	13	40	
39732	12	29	6	12	24	14	10	30	26	22	43	13	36	32	19	34	5	1	35	42	15	28	17	37	18	33	41	7	8	29	11	21	2	20	16	31	9	4	40	
40449	12	29	34	17	16	21	32	8	25	12	35	36	3	10	4	23	9	11	43	7	19	6	0	33	22	13	29	15	27	1	5	24	42	20	18	37	28	2	40	
39277	12	28	43	5	36	3	16	33	26	32	19	28	37	14	10	25	22	34	4	12	20	8	1	0	13	42	29	24	7	6	15	18	35	9	2	11	39	23	30	
39635	12	28	30	33	1	35	19	21	24	29	41	3	10	15	0	28	14	6	8	43	17	16	36	7	31	22	32	2	20	4	26	42	9	12	37	34	40	13	5	
40240	12	29	19	1	6	30	26	34	33	16	11	35	31	23	5	4	15	3	10	21	8	0	43	32	13	42	7	41	17	29	18	27	24	38	9	12	14	36	25	
39613	12	29	16	13	1	26	14	19	22	8	10	12	35	25	3	2	15	30	32	43	37	9	11	20	41	33	5	6	42	34	0	24	28	7	4	18	29	23	17	
39886	12	29	35	10	30	1	38	4	2	33	3	7	16	17	6	24	5	36	19	8	12	15	34	21	41	42	43	32	14	22	11	0	37	20	31	9	28	18	26	
39435	12	29	2	20	6	37	12	8	36	17	35	27	15	24	22	43	26	42	18	1	38	31	14	0	33	4	41	11	19	9	3	32	34	13	23	10	29	39	5	
38943	12	29	14	24	20	32	19	8	25	36	31	33	29	6	28	43	10	34	40	37	13	22	12	18	5	21	9	42	2	30	27	39	7	3	35	15	16	0	41	
38765	12	29	10	22	30	42	11	6	34	43	24	3	12	41	9	17	7	19	13	8	15	0	1	25	2	14	23	28	5	40	4	36	26	18	39	37	31	33	32	
39999	12	27	12	1	6	32	15	36	13	31	11	16	26	34	22	8	20	28	43	18	3	10	37	17	2	41	42	14	7	40	35	24	25	19	29	4	33	23	27	
39277	12	29	43	5	36	3	16	33	26	32	19	37	14	10	25	22	34	29	4	12	20	8	1	0	13	42	24	7	6	15	18	28	35	9	2	11	39	23	30	
