40674	12	18	0	41	16	28	12	38	42	23	8	37	9	15	43	29	21	6	40	10	14	22	39	25	3	36	2	27	18	13	33	7	24	4	35	26	32	1	19	
38863	12	2	21	40	33	24	17	39	23	15	2	11	7	27	1	42	28	14	0	12	3	25	4	37	9	31	30	18	26	43	29	36	8	38	5	35	10	16	32	
39114	12	19	40	12	39	3	36	25	37	14	18	19	23	8	11	29	16	27	9	15	31	28	33	6	7	41	38	2	1	22	10	17	42	43	32	5	13	34	21	
39445	12	12	15	25	9	43	23	39	31	20	8	12	28	10	40	3	14	18	22	27	41	38	16	36	7	26	2	32	4	42	5	17	24	29	21	37	33	1	0	
39633	12	29	28	12	3	39	4	37	29	23	18	17	9	33	15	8	40	10	21	6	7	43	1	25	31	2	5	41	19	42	24	16	26	30	36	14	0	34	38	
38962	12	19	8	25	10	21	9	12	2	24	14	3	26	19	15	42	38	16	39	27	23	7	41	29	31	40	32	43	33	30	11	28	13	37	0	22	4	35	18	
38863	12	4	21	40	33	24	17	39	23	15	11	7	27	1	42	28	14	0	12	3	25	37	9	4	31	30	18	26	43	29	36	8	2	38	5	35	10	16	32	
39016	12	1	15	8	39	10	38	9	24	28	30	5	17	7	42	19	37	26	18	12	3	13	27	21	14	31	16	22	40	25	20	4	1	0	33	29	36	2	43	
39622	12	4	37	25	20	40	14	22	23	42	28	39	8	21	9	18	15	2	43	13	27	3	12	24	36	16	7	11	41	4	32	17	10	0	31	1	38	19	33	
39085	12	13	15	4	2	27	14	3	12	20	37	29	35	42	17	41	33	39	40	43	22	25	23	28	8	1	16	9	36	21	24	19	31	7	0	10	5	13	32	
39448	12	16	36	8	27	12	28	38	26	15	9	11	43	2	29	31	32	33	37	30	24	6	3	7	18	40	16	25	39	5	17	19	1	34	10	42	20	22	23	
39787	12	38	33	15	43	22	23	29	36	39	12	2	24	37	28	13	3	16	17	6	30	40	18	32	31	8	7	25	5	42	27	11	10	1	26	38	41	14	0	
39758	12	13	11	36	15	3	12	21	32	5	25	24	19	39	7	31	2	30	28	41	18	29	43	42	40	4	1	27	16	17	37	8	9	23	20	22	33	10	13	
39291	12	33	19	23	41	3	2	29	17	28	21	38	25	15	42	43	39	12	36	9	4	27	1	31	0	40	37	32	8	5	33	22	30	14	11	20	24	10	26	
39833	12	11	8	4	38	29	39	36	3	12	37	10	42	24	40	41	20	25	31	15	34	23	5	18	33	28	0	30	6	32	16	43	27	9	19	7	21	14	11	
39509	12	25	12	15	28	11	21	38	14	33	25	2	5	9	4	42	31	18	37	7	1	23	36	3	29	41	40	8	10	30	43	39	17	19	16	27	22	24	34	
40724	12	38	7	25	40	37	0	16	28	39	29	14	21	3	24	2	8	15	13	31	23	38	36	4	19	10	42	11	32	5	9	1	12	43	33	41	22	20	18	
39311	12	16	8	22	25	13	12	23	7	31	40	15	28	3	1	9	27	10	42	11	26	37	24	29	17	19	36	21	38	20	5	16	6	32	39	14	2	41	18	
39610	12	15	29	11	5	15	12	27	33	18	43	36	40	3	17	42	39	37	28	38	41	16	22	20	7	0	8	6	32	2	13	31	21	23	9	4	25	10	34	
39851	12	41	28	32	12	21	43	5	36	39	23	15	25	9	18	10	33	11	27	31	29	17	2	24	16	7	41	3	4	26	37	42	30	20	0	13	14	22	19	
39594	12	4	23	11	7	5	12	10	15	32	39	30	24	9	31	19	3	21	8	26	29	27	42	2	16	17	18	28	4	36	38	41	20	37	14	33	43	25	34	
39459	12	23	22	12	33	23	7	41	9	28	17	15	29	37	43	26	25	24	11	8	39	14	21	0	42	5	16	19	3	36	10	30	31	2	4	38	18	1	40	
40335	12	15	5	33	36	16	28	9	11	32	22	23	19	15	40	25	18	4	27	37	24	6	2	39	38	1	34	12	21	43	8	14	26	7	13	42	30	3	29	
39953	12	40	40	37	28	0	7	21	13	41	16	24	39	23	17	12	31	15	38	29	14	2	4	27	8	25	33	11	10	1	22	18	3	43	6	19	36	32	26	
39407	12	29	28	2	16	33	25	5	36	3	23	11	12	38	13	32	37	41	43	21	15	18	4	14	40	30	7	39	42	29	17	31	22	10	27	34	8	9	20	
40444	12	28	27	9	42	40	12	28	22	39	37	36	3	29	19	32	18	10	4	15	23	20	11	2	16	14	5	38	33	43	8	41	26	21	25	13	6	7	31	
40168	12	33	29	3	9	39	28	25	21	15	12	22	30	7	40	10	17	5	19	33	36	6	13	4	8	0	31	23	27	11	32	20	42	18	37	43	1	2	24	
40068	12	38	25	39	36	2	15	28	32	29	23	1	8	34	13	31	9	42	3	38	5	12	18	19	27	11	22	33	40	4	24	6	17	41	35	37	0	10	14	
