38908	8	40557	0	
54466	17	145	1	
38387	16	215	1	
38387	17	215	1	
54466	12	144	1	
56820	17	175	2	
56820	17	79	2	
57470	16	356	3	
57470	16	173	3	
57470	17	356	3	
57470	17	186	3	
37240	12	185	3	
40077	8	40077	4	
3448	12	184	4	
12332	12	186	4	
40077	12	89	4	
56883	17	145	5	
56883	17	129	5	
56883	17	228	5	
56883	17	1	5	
54582	12	58	5	
39523	8	39523	6	
39930	8	39930	6	
54571	17	186	6	
12453	16	1193	6	
54571	12	186	6	
39930	12	114	6	
39523	12	76	6	
40804	8	39475	7	
12577	17	287	7	
12577	17	145	7	
12577	17	56831	7	
56866	16	145	7	
56866	17	287	7	
56866	17	145	7	
14984	16	26	7	
14984	17	88	7	
14984	12	88	7	
14984	12	65	7	
14984	12	62	7	
54731	12	145	7	
33391	12	103	7	
11937	12	9	7	
11937	12	8	7	
39475	12	66	7	
23684	8	38868	8	
39127	8	39127	8	
39197	8	39198	8	
39596	8	39597	8	
39372	8	36526	8	
40312	8	40312	8	
56833	17	356	8	
54537	17	171	8	
54537	17	186	8	
54537	17	185	8	
54537	17	188	8	
54537	17	56835	8	
54537	17	173	8	
56965	16	1	8	
54738	16	186	8	
54738	16	188	8	
54738	16	187	8	
54738	16	173	8	
54738	17	186	8	
54738	17	187	8	
54738	17	173	8	
54546	16	180	8	
54546	16	179	8	
54546	17	179	8	
18381	17	108	8	
20447	16	176	8	
20447	17	176	8	
57497	16	186	8	
57497	17	186	8	
57497	17	187	8	
57497	17	171	8	
57497	17	173	8	
18381	12	114	8	
54537	12	184	8	
54537	12	176	8	
54546	12	180	8	
54722	12	186	8	
54722	12	184	8	
54722	12	176	8	
54738	12	186	8	
27041	12	113	8	
33011	12	99	8	
34195	12	49	8	
35503	12	143	8	
36526	12	176	8	
36526	12	171	8	
39848	12	150	8	
39132	12	55	8	
39127	12	62	8	
39820	12	76	8	
40312	12	101	8	
38936	8	38936	9	
40866	8	40867	9	
56837	17	287	9	
56837	17	145	9	
56838	17	79	9	
54454	12	179	9	
39444	8	39444	10	
39372	8	38971	10	
54365	16	170	10	
54365	17	170	10	
37620	17	77	10	
37620	17	50451	10	
54365	12	186	10	
54365	12	184	10	
54365	12	154	10	
54365	12	150	10	
23684	12	150	10	
39444	12	78	10	
38997	8	38997	11	
39778	8	39778	11	
56832	17	85	11	
16566	17	144	11	
16566	17	145	11	
16566	17	1193	11	
56956	17	283	11	
57360	17	180	11	
16964	17	287	11	
16964	17	144	11	
16964	17	41097	11	
16964	12	114	11	
32782	12	99	11	
39778	12	76	11	
39424	8	39424	12	
39372	8	12252	12	
40655	8	40656	12	
39787	8	40753	12	
16522	17	144	12	
16522	17	145	12	
54315	17	188	12	
54315	17	171	12	
54315	17	187	12	
54315	17	186	12	
54315	17	185	12	
54315	17	175	12	
54315	17	56835	12	
54315	17	173	12	
14741	17	222	12	
54383	16	145	12	
54732	17	145	12	
54732	17	2	12	
57075	17	127	12	
57075	17	132	12	
57218	17	128	12	
19133	17	287	12	
19133	17	145	12	
54315	12	175	12	
54315	12	179	12	
54383	12	10	12	
54586	12	10	12	
54732	12	11	12	
54732	12	10	12	
54732	12	9	12	
32910	12	31	12	
12252	12	171	12	
39424	12	61	12	
39217	12	60	12	
34013	6	34014	13	
39787	8	40177	13	
34014	9	48146	13	
34014	10	77	13	
34014	10	249	13	
54493	17	171	13	
56834	16	188	13	
56834	16	171	13	
56834	16	173	13	
56834	17	171	13	
56834	17	187	13	
56834	17	186	13	
56834	17	185	13	
56834	17	180	13	
56834	17	176	13	
56834	17	56835	13	
56834	17	173	13	
56839	16	145	13	
56849	17	1	13	
56855	17	287	13	
56993	16	128	13	
56993	17	128	13	
54429	16	187	13	
54429	16	173	13	
54429	17	188	13	
54429	17	187	13	
54429	17	173	13	
54638	17	145	13	
57368	16	287	13	
57368	17	287	13	
57368	17	2	13	
57368	17	0	13	
57368	17	145	13	
57368	17	749	13	
54714	16	171	13	
54714	17	177	13	
54714	17	1641	13	
54714	17	47838	13	
54714	17	1640	13	
54714	17	1622	13	
54714	17	180	13	
54714	17	57495	13	
54714	17	1639	13	
18990	17	190	13	
18990	17	132	13	
54429	12	186	13	
54450	12	53	13	
54493	12	184	13	
54638	12	145	13	
54638	12	140	13	
54638	12	132	13	
54638	12	18	13	
54714	12	177	13	
54714	12	176	13	
39901	12	99	13	
39860	8	39860	14	
39933	8	39933	14	
39371	8	40424	14	
40542	8	40542	14	
