f002_ths002,f011_ths002,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
"苏州工业园区凌志软件股份有限公司",2003-01-03,大数据,数据平台,数据采集系统,,,,,,,
"苏州工业园区凌志软件股份有限公司",2003-01-03,大数据,基础设施,基础软件,数据库,,,,,,
"深圳市广和通无线股份有限公司",1999-11-11,物联网,感知层,感知硬件,无线通信集成模块,,,,,,
"深圳市广和通无线股份有限公司",1999-11-11,物联网,感知层,感知硬件,无线通信集成模块,,,,,,
"南方汇通股份有限公司",1999-05-11,化工新材料,高性能膜材料,水处理用膜,反渗透膜元件,,,,,,
"南方汇通股份有限公司",1999-05-11,化工新材料,高性能膜材料,水处理用膜,反渗透膜,,,,,,
"宁夏新日恒力钢丝绳股份有限公司",1998-05-14,化工新材料,其他化工新材料,活性炭,,,,,,,
"有研新材料股份有限公司",1999-03-12,医疗器械,医用设备,医用康复设备,矫形固定器械,漏斗胸矫形器,,,,,
"有研新材料股份有限公司",1999-03-12,医疗器械,医用耗材,高值医用耗材,其他高值医用耗材,口腔科材料,口腔正畸材料,,,,
"有研新材料股份有限公司",1999-03-12,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管支架,,,,,
"有研新材料股份有限公司",1999-03-12,半导体材料,半导体晶圆制造材料,物理气相沉积材料,溅射靶材,,,,,,
"有研新材料股份有限公司",1999-03-12,集成电路,上游材料设备,半导体材料,半导体晶圆制造材料,物理气相沉积材料,溅射靶材,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,医疗器械,医用耗材,高值医用耗材,血管介入耗材,球囊,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管内导管,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管支架,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,中药,中药材,,,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,中药,中药饮片,,,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,中药,中成药,解表剂,,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,化学制药,化学制剂,心脑血管药物,"周围血管扩张药 ",,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,生物制品,基因工程药物,其他基因工程药物,注射用重组人脑利钠肽,,,,,
"西藏诺迪康药业股份有限公司",1999-07-14,生物制药,生物制品,疫苗,二类疫苗,新冠肺炎疫苗,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,其他类化学制剂,营养补充剂,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,抗肿瘤药物,免疫调节剂,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,神经系统药物,其他精神系统药物,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,神经系统药物,镇痛药,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,神经系统药物,"精神兴奋药 ",,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,肌肉-骨骼药物,"抗炎药和抗风湿药 ",,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,心脑血管药物,降血压药物,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,血液及造血系统药物,"抗血栓药物 ",,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,皮肤科药物,其他皮肤病类药物,,,,,
"上海现代制药股份有限公司",1996-11-27,生物制药,化学制药,化学制剂,全身性感染药,抗细菌类药物,,,,,
"北京数字政通科技股份有限公司",2001-11-06,无人驾驶,应用服务,停车信息,,,,,,,
"北京数字政通科技股份有限公司",2001-11-06,大数据,数据应用,SaaS服务,智慧政务系统,,,,,,
"盈康生命科技股份有限公司",1998-08-06,医疗器械,医用设备,放射治疗器械,,,,,,,
"上海飞凯光电材料股份有限公司",2002-04-26,半导体材料,半导体晶圆制造材料,光刻材料,光刻胶,,,,,,
"上海飞凯光电材料股份有限公司",2002-04-26,集成电路,上游材料设备,半导体材料,半导体晶圆制造材料,光刻材料,光刻胶,,,,
"上海飞凯光电材料股份有限公司",2002-04-26,化工新材料,专用化学品,液晶化学品,,,,,,,
"广州维力医疗器械股份有限公司",2004-04-30,医疗器械,医用设备,呼吸、麻醉剂及急救器械,医用雾化器,,,,,,
"广州维力医疗器械股份有限公司",2004-04-30,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"广州维力医疗器械股份有限公司",2004-04-30,医疗器械,医用耗材,低值医用耗材,注输器械,非血管内导管,导尿管,,,,
"广州维力医疗器械股份有限公司",2004-04-30,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管内导管,,,,,
"聚辰半导体股份有限公司",2009-11-13,集成电路,中游设计,集成电路模组,消费级SOC,智能卡芯片,,,,,
"聚辰半导体股份有限公司",2009-11-13,集成电路,中游设计,模拟电路,电源管理芯片,音圈马达驱动芯片,,,,,
"苏州瀚川智能科技股份有限公司",2012-11-16,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"苏州瀚川智能科技股份有限公司",2012-11-16,医疗器械,医用耗材,低值医用耗材,注输器械,血管内输液器械,输液袋,,,,
"苏宁易购集团股份有限公司",1996-05-15,人工智能,下游集成服务,系统集成,智慧营销系统,,,,,,
"苏宁易购集团股份有限公司",1996-05-15,大数据,数据应用,SaaS服务,智慧营销系统,,,,,,
"广东美联新材料股份有限公司",2000-06-20,化工新材料,其他化工新材料,塑料母粒,,,,,,,
"广东美联新材料股份有限公司",2000-06-20,化工新材料,合成树脂,改性塑料,塑料功能母料颗粒,,,,,,
"大博医疗科技股份有限公司",2004-08-12,医疗器械,医用耗材,高值医用耗材,其他高值医用耗材,神经内外科植入耗材,颅脑修复膜,,,,
"大博医疗科技股份有限公司",2004-08-12,医疗器械,医用耗材,高值医用耗材,骨科植入耗材,创伤类植入物,,,,,
"大博医疗科技股份有限公司",2004-08-12,医疗器械,医用耗材,高值医用耗材,骨科植入耗材,脊柱植入物,,,,,
"浙江震元股份有限公司",1993-04-02,生物制药,化学制药,化学原料药,糖尿病药物原料药,,,,,,
"浙江震元股份有限公司",1993-04-02,生物制药,化学制药,化学原料药,消化系统类原料药,,,,,,
"浙江震元股份有限公司",1993-04-02,生物制药,化学制药,化学原料药,抗感染类原料药,抗生素原料药,,,,,
"浙江震元股份有限公司",1993-04-02,生物制药,化学制药,化学制剂,内分泌系统药物,糖尿病药物,,,,,
"浙江震元股份有限公司",1993-04-02,生物制药,化学制药,化学制剂,全身性感染药,抗细菌类药物,,,,,
"上海海欣集团股份有限公司",1993-11-15,生物制药,化学制药,化学制剂,其他类化学制剂,营养补充剂,,,,,
"上海海欣集团股份有限公司",1993-11-15,生物制药,化学制药,化学制剂,解毒类药物,,,,,,
"上海海欣集团股份有限公司",1993-11-15,生物制药,化学制药,化学制剂,抗肿瘤药物,免疫调节剂,,,,,
"易事特集团股份有限公司",2001-06-21,大数据,数据中心,IDC基础平台服务,服务器托管业务,,,,,,
"易事特集团股份有限公司",2001-06-21,大数据,数据中心,数据中心系统建设服务,,,,,,,
"易事特集团股份有限公司",2001-06-21,大数据,数据中心,数据中心系统设计服务,,,,,,,
"易事特集团股份有限公司",2001-06-21,大数据,基础设施,基础硬件,设备,网络设备,网络交换设备,网关设备,,,
"易事特集团股份有限公司",2001-06-21,大数据,基础设施,基础硬件,设备,IT设备,UPS电源,,,,
"浙江大立科技股份有限公司",2001-07-19,无人驾驶,感知模块,环境感知模块,红外线传感器,,,,,,
"浙江大立科技股份有限公司",2001-07-19,物联网,感知层,感知硬件,传感器,,,,,,
"苏州科斯伍德油墨股份有限公司",2003-01-14,化工新材料,功能涂层材料,油墨,印刷油墨,,,,,,
"安徽安利材料科技股份有限公司",1994-07-12,石墨烯,下游应用,石墨烯粉体下游应用,负极材料,,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,医药中间体,,,,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学原料药,甾体激素原料药,皮质激素原料药,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,妇科用药,,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,五官科药物,,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,抗肿瘤药物,免疫调节剂,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,呼吸系统药物,"化痰止咳平喘药 ",,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,神经系统药物,"麻醉剂 ",,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,内分泌系统药物,甾体激素,性激素,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,皮肤科药物,皮肤用皮质激素,,,,,
"浙江仙琚制药股份有限公司",2000-06-26,生物制药,化学制药,化学制剂,全身性感染药,抗病毒类药物,,,,,
"深圳大通实业股份有限公司",1987-06-24,人工智能,下游集成服务,系统集成,智慧传媒系统,,,,,,
"深圳大通实业股份有限公司",1987-06-24,人工智能,下游集成服务,系统集成,智慧营销系统,,,,,,
"深圳大通实业股份有限公司",1987-06-24,大数据,数据应用,SaaS服务,智慧传媒系统,,,,,,
"深圳大通实业股份有限公司",1987-06-24,大数据,数据应用,SaaS服务,智慧营销系统,,,,,,
"嘉兴斯达半导体股份有限公司",2005-04-27,石墨烯,上游,石墨烯材料,碳化硅,,,,,,
"嘉兴斯达半导体股份有限公司",2005-04-27,集成电路,中游设计,模拟电路,电源管理芯片,电源管理集成模块,,,,,
"深圳市海王生物工程股份有限公司",1992-12-13,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用防护服,,,,,
"深圳市海王生物工程股份有限公司",1992-12-13,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"吉药控股集团股份有限公司",2000-01-27,生物制药,中药,中成药,妇科用中成药,,,,,,
"吉药控股集团股份有限公司",2000-01-27,生物制药,中药,中成药,儿童用中成药,,,,,,
"吉药控股集团股份有限公司",2000-01-27,生物制药,中药,中成药,化痰止咳平喘剂,,,,,,
"吉药控股集团股份有限公司",2000-01-27,生物制药,中药,中成药,补虚剂,,,,,,
"吉药控股集团股份有限公司",2000-01-27,生物制药,中药,中成药,解表剂,,,,,,
"惠州中京电子科技股份有限公司",2000-12-22,医疗器械,医用设备,医学成像设备,超声诊断设备,,,,,,
"惠州中京电子科技股份有限公司",2000-12-22,医疗器械,医用设备,医学成像设备,X射线机,,,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,中药,中成药,消导剂,,,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,中药,中成药,祛湿剂,,,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,中药,中成药,解表剂,,,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,化学制药,化学制剂,神经系统药物,脑代谢改善及促智药,,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,化学制药,化学制剂,神经系统药物,"精神兴奋药 ",,,,,
"一品红药业股份有限公司",2002-02-04,生物制药,化学制药,化学制剂,全身性感染药,抗细菌类药物,,,,,
"上海神奇制药投资管理股份有限公司",1992-07-22,生物制药,中药,中成药,儿童用中成药,,,,,,
"上海神奇制药投资管理股份有限公司",1992-07-22,生物制药,中药,中成药,化痰止咳平喘剂,,,,,,
"上海神奇制药投资管理股份有限公司",1992-07-22,生物制药,中药,中成药,解表剂,,,,,,
"江西联创光电科技股份有限公司",1999-06-30,超导材料,应用方向,超导电缆,,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,系统集成,智能安防系统,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,系统集成,智能家居系统,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,系统集成,智慧交通系统,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,系统集成,智慧城市系统,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,系统集成,工业互联网系统,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,应用层,终端设备,智能表计,,,,,,
"汉威科技集团股份有限公司",1998-09-11,物联网,感知层,感知硬件,传感器,,,,,,
"蓝帆医疗股份有限公司",2002-12-02,医疗器械,医用设备,体外循环及输血透析设备,,,,,,,
"蓝帆医疗股份有限公司",2002-12-02,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"蓝帆医疗股份有限公司",2002-12-02,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用手套,,,,,
"蓝帆医疗股份有限公司",2002-12-02,医疗器械,医用耗材,高值医用耗材,血管介入耗材,心脏瓣膜,,,,,
