f002_ths002,f011_ths002,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
"深圳长城开发科技股份有限公司",1985-07-04,医疗器械,医用设备,医用诊察设备,血糖仪,,,,,,
"深圳长城开发科技股份有限公司",1985-07-04,医疗器械,医用设备,呼吸、麻醉剂及急救器械,呼吸机,,,,,,
"浙江钱江生物化学股份有限公司",1989-12-24,生物制药,医药中间体,,,,,,,,
"广东雪莱特光电科技股份有限公司",1992-10-22,无人驾驶,执行模块,照明系统,,,,,,,
"山东新北洋信息技术股份有限公司",2002-12-06,物联网,传输层,通信传输设备,,,,,,,
"浙江世宝股份有限公司",1993-06-02,无人驾驶,执行模块,转向系统（EPS/SBW),,,,,,,
"道明光学股份有限公司",2007-11-22,化工新材料,专用化学品,反光制品,,,,,,,
"青岛国恩科技股份有限公司",2000-12-22,生物制药,药用辅料,,,,,,,,
"青岛国恩科技股份有限公司",2000-12-22,化工新材料,合成树脂,改性塑料,PC合金产品,,,,,,
"青岛国恩科技股份有限公司",2000-12-22,化工新材料,合成树脂,通用塑料树脂,PP树脂,,,,,,
"北京先进数通信息技术股份公司",2000-10-31,大数据,数据应用,SaaS服务,智慧金融系统,,,,,,
"北京先进数通信息技术股份公司",2000-10-31,大数据,数据平台,数据采集系统,,,,,,,
"北京先进数通信息技术股份公司",2000-10-31,大数据,数据中心,数据中心系统设计服务,,,,,,,
"北京先进数通信息技术股份公司",2000-10-31,大数据,基础设施,基础软件,虚拟化系统,,,,,,
"北京先进数通信息技术股份公司",2000-10-31,大数据,基础设施,基础软件,数据库,,,,,,
"普元信息技术股份有限公司",2003-03-26,人工智能,上游支撑,基础软件,中间件,,,,,,
"普元信息技术股份有限公司",2003-03-26,大数据,数据应用,SaaS服务,智慧政务系统,,,,,,
"普元信息技术股份有限公司",2003-03-26,大数据,数据应用,SaaS服务,智慧金融系统,,,,,,
"普元信息技术股份有限公司",2003-03-26,大数据,数据应用,SaaS服务,智慧教育系统,,,,,,
"普元信息技术股份有限公司",2003-03-26,大数据,数据应用,PaaS服务,,,,,,,
"普元信息技术股份有限公司",2003-03-26,大数据,基础设施,基础软件,中间件,,,,,,
"浙江富润股份有限公司",1994-05-19,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"浙江富润股份有限公司",1994-05-19,大数据,数据应用,SaaS服务,智慧营销系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,物联网,应用层,系统集成,智能安防系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,物联网,应用层,系统集成,智慧金融系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,人工智能,下游集成服务,系统集成,智慧金融系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,人工智能,下游集成服务,系统集成,智能安防系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,人工智能,上游支撑,应用技术,自然语言处理,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,大数据,数据应用,SaaS服务,智慧金融系统,,,,,,
"北京神州泰岳软件股份有限公司",2001-05-18,大数据,数据应用,SaaS服务,智能安防系统,,,,,,
"首航高科能源技术股份有限公司",2001-07-06,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"深南电路股份有限公司",1984-07-03,半导体材料,半导体封装材料,封装基板,,,,,,,
"深南电路股份有限公司",1984-07-03,集成电路,上游材料设备,半导体材料,半导体封装材料,封装基板,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,医药中间体,,,,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,中药,中成药,解表剂,,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学原料药,心脑血管类原料药,降血压药物原料药,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学原料药,抗肿瘤类原料药,,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学原料药,抗感染类原料药,抗生素原料药,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,抗肿瘤药物,其他肿瘤用药,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,神经系统药物,"精神兴奋药 ",,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,心脑血管药物,"降血脂药物 ",,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,心脑血管药物,降血压药物,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,内分泌系统药物,糖尿病药物,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,全身性感染药,抗结核病药物,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,化学制药,化学制剂,全身性感染药,抗病毒类药物,,,,,
"浙江海正药业股份有限公司",1998-02-11,生物制药,生物制品,基因工程药物,抗体制剂,单克隆抗体,注射用重组人Ⅱ型肿瘤坏死因子受体抗体融合蛋白,,,,
"远光软件股份有限公司",1998-12-29,人工智能,下游集成服务,应用软件,智能决策软件,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据应用,SaaS服务,智慧城市系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据应用,SaaS服务,智慧农业系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据应用,SaaS服务,智慧交通系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据应用,SaaS服务,智慧营销系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据平台,数据可视化系统,,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据平台,数据分析系统,,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据平台,数据管理系统,数据灾备系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据平台,数据管理系统,分布式存储系统,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,数据平台,数据采集系统,,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,基础设施,基础软件,数据库,,,,,,
"远光软件股份有限公司",1998-12-29,大数据,基础设施,基础软件,云操作系统,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,数据平台,数据分析系统,,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,数据平台,数据管理系统,数据灾备系统,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,数据平台,数据管理系统,分布式存储系统,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,数据中心,IDC基础平台服务,服务器托管业务,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,基础设施,基础软件,虚拟化系统,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,基础设施,基础软件,数据库,,,,,,
"深圳市证通电子股份有限公司",1993-09-04,大数据,基础设施,基础软件,云操作系统,,,,,,
"深圳市新纶科技股份有限公司",2002-12-25,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"深圳市新纶科技股份有限公司",2002-12-25,石墨烯,下游应用,石墨烯薄膜下游应用,石墨烯导电膜,,,,,,
"深圳市新纶科技股份有限公司",2002-12-25,化工新材料,高性能膜材料,电池膜,锂电池隔膜,,,,,,
"成都天奥电子股份有限公司",2004-01-04,医疗器械,医用设备,医用监护设备,病人监护仪,,,,,,
"玉禾田环境发展集团股份有限公司",2010-04-13,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"华熙生物科技股份有限公司",2000-01-03,生物制药,生物制品,生物提取物,动物提取物,,,,,,
"珠海格力电器股份有限公司",1989-12-13,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"珠海格力电器股份有限公司",1989-12-13,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"珠海格力电器股份有限公司",1989-12-13,物联网,应用层,终端设备,智能家居产品,,,,,,
"湖南电广传媒股份有限公司",1999-01-26,生物制药,生物制品,疫苗,二类疫苗,新冠肺炎疫苗,,,,,
"湖南电广传媒股份有限公司",1999-01-26,物联网,应用层,系统集成,智慧城市系统,,,,,,
"万邦德医药控股集团股份有限公司",1999-03-31,医疗器械,医用设备,骨科手术器械,,,,,,,
"万邦德医药控股集团股份有限公司",1999-03-31,医疗器械,医用耗材,高值医用耗材,骨科植入耗材,脊柱植入物,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中药材,,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中药饮片,,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中成药,妇科用中成药,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中成药,补虚剂,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中成药,补虚剂,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中成药,安神剂,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,中药,中成药,祛湿剂,,,,,,
"浙江佐力药业股份有限公司",2000-01-28,生物制药,化学制药,化学制剂,全身性感染药,抗细菌类药物,,,,,
"创业慧康科技股份有限公司",1997-12-10,物联网,应用层,系统集成,智慧医疗系统,,,,,,
"创业慧康科技股份有限公司",1997-12-10,大数据,数据应用,SaaS服务,智慧医疗系统,,,,,,
"北方化学工业股份有限公司",2002-08-23,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"北方化学工业股份有限公司",2002-08-23,化工新材料,聚氨酯材料,甲苯二异氰酸酯(TDI),,,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,中药,中药饮片,,,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,其他类化学制剂,营养补充剂,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,抗肿瘤药物,其他肿瘤用药,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,呼吸系统药物,"化痰止咳平喘药 ",,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,神经系统药物,脑代谢改善及促智药,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,消化系统药物,"质子泵抑制剂 ",,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,心脑血管药物,降血压药物,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,内分泌系统药物,甾体激素,皮质激素,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,血液及造血系统药物,"止血药 ",,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,血液及造血系统药物,"抗血栓药物 ",,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,全身性感染药,抗真菌类药物,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,全身性感染药,抗病毒类药物,,,,,
"重庆莱美药业股份有限公司",1999-09-06,生物制药,化学制药,化学制剂,全身性感染药,抗细菌类药物,,,,,
"北京海兰信数据科技股份有限公司",2001-02-14,人工智能,下游集成服务,系统集成,无人驾驶系统,,,,,,
"北京海兰信数据科技股份有限公司",2001-02-14,大数据,数据应用,SaaS服务,无人驾驶系统,,,,,,
"欣旺达电子股份有限公司",1997-12-09,石墨烯,下游应用,石墨烯粉体下游应用,负极材料,,,,,,
"浩云科技股份有限公司",2001-03-08,物联网,应用层,系统集成,工业互联网系统,,,,,,
"北京星网宇达科技股份有限公司",2005-05-20,无人驾驶,感知模块,车辆信息感知,惯性导航系统,,,,,,
"北京星网宇达科技股份有限公司",2005-05-20,无人驾驶,感知模块,车辆信息感知,高精度定位,MEMS-IMU,,,,,
"京蓝科技股份有限公司",1993-03-31,物联网,应用层,系统集成,智慧农业系统,,,,,,
"京蓝科技股份有限公司",1993-03-31,物联网,应用层,系统集成,工业互联网系统,,,,,,
"京蓝科技股份有限公司",1993-03-31,人工智能,下游集成服务,系统集成,智慧农业系统,,,,,,
"京蓝科技股份有限公司",1993-03-31,大数据,数据应用,SaaS服务,智慧农业系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,物联网,应用层,系统集成,智能安防系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,物联网,应用层,系统集成,智慧金融系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,物联网,应用层,系统集成,智慧政务系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,物联网,应用层,系统集成,智慧医疗系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,物联网,应用层,系统集成,智慧交通系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,下游集成服务,系统集成,智慧政务系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,下游集成服务,系统集成,智慧交通系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,下游集成服务,系统集成,智慧金融系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,下游集成服务,系统集成,智慧医疗系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,下游集成服务,系统集成,智能安防系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,中游平台,计算平台,云平台,,,,,,
"浙大网新科技股份有限公司",1994-01-08,人工智能,上游支撑,网络服务,通信增值服务,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据应用,SaaS服务,智慧政务系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据应用,SaaS服务,智慧交通系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据应用,SaaS服务,智慧金融系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据应用,SaaS服务,智慧医疗系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据应用,SaaS服务,智能安防系统,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据中心,IDC增值服务,,,,,,,
"浙大网新科技股份有限公司",1994-01-08,大数据,数据中心,IDC基础平台服务,服务器托管业务,,,,,,
"泰豪科技股份有限公司",1996-03-20,大数据,基础设施,基础硬件,设备,IT设备,UPS电源,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,中游设计,模拟电路,电源管理芯片,电源管理集成模块,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,清洗机,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,制版设备,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,外延设备,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,氧气扩散炉,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,单晶炉,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,PVD物理气相沉淀机,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,CVD化学气相沉淀机,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,快速热处理设备,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,退火设备,,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,离子注入机,离子注入机,,,,
"北方华创科技集团股份有限公司",2001-09-28,集成电路,上游材料设备,半导体设备,芯片制造设备,刻蚀机,刻蚀机,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,医疗器械,医用设备,医用康复设备,康复训练机器人,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,物联网,应用层,系统集成,智慧政务系统,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,人工智能,下游集成服务,系统集成,智慧政务系统,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,人工智能,下游集成服务,系统集成,工业互联网系统,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,人工智能,下游集成服务,终端设备,机器人,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,大数据,数据应用,SaaS服务,智慧政务系统,,,,,,
"沈阳新松机器人自动化股份有限公司",2000-04-30,大数据,数据应用,SaaS服务,工业互联网系统,,,,,,
"汉王科技股份有限公司",1998-09-11,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"汉王科技股份有限公司",1998-09-11,物联网,应用层,系统集成,智能安防系统,,,,,,
"汉王科技股份有限公司",1998-09-11,人工智能,下游集成服务,系统集成,智能安防系统,,,,,,
"汉王科技股份有限公司",1998-09-11,人工智能,下游集成服务,终端设备,智能卡,,,,,,
"汉王科技股份有限公司",1998-09-11,人工智能,下游集成服务,终端设备,平板电脑,,,,,,
"汉王科技股份有限公司",1998-09-11,大数据,数据应用,SaaS服务,智能安防系统,,,,,,
"雅本化学股份有限公司",2006-01-13,生物制药,医药中间体,,,,,,,,
"芜湖伯特利汽车安全系统股份有限公司",2004-06-25,无人驾驶,执行模块,制动系统（ABS/ESC/EMB）,,,,,,,
"华鹏飞股份有限公司",2000-11-15,物联网,应用层,系统集成,智慧物流系统,,,,,,
"上海会畅通讯股份有限公司",2006-02-08,大数据,数据应用,SaaS服务,云办公,,,,,,
"润建股份有限公司",2003-01-03,大数据,数据中心,IDC基础平台服务,服务器托管业务,,,,,,
"浙江皇马科技股份有限公司",2003-05-30,化工新材料,专用化学品,表面活性剂,阴离子表面活性剂,,,,,,
"宜通世纪科技股份有限公司",2001-10-09,物联网,传输层,通信增值服务,,,,,,,
"江西三鑫医疗科技股份有限公司",1997-03-07,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用外科口罩,,,,
"江西三鑫医疗科技股份有限公司",1997-03-07,医疗器械,医用耗材,低值医用耗材,注输器械,血管内输液器械,留置针,,,,
"江西三鑫医疗科技股份有限公司",1997-03-07,医疗器械,医用耗材,低值医用耗材,注输器械,血管内输液器械,留置针,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用设备,临床检验器械,微生物分析设备,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用设备,临床检验器械,血液学分析设备,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用设备,临床检验器械,免疫分析设备,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用设备,临床检验器械,尿液分析设备,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用设备,临床检验器械,生化分析设备,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,医疗器械,医用耗材,低值医用耗材,医用消毒材料,,,,,,
"上海润达医疗科技股份有限公司",1998-12-12,生物制药,生物制品,体外诊断试剂,,,,,,,
"灵康药业集团股份有限公司",2003-12-24,生物制药,中药,中药饮片,,,,,,,
"灵康药业集团股份有限公司",2003-12-24,生物制药,化学制药,化学制剂,其他类化学制剂,营养补充剂,,,,,
"深圳市德方纳米科技股份有限公司",2007-01-25,化工新材料,其他化工新材料,锂电池材料,磷酸铁锂正极材料,,,,,,
"上海微创心脉医疗科技股份有限公司",2012-08-17,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管内导管,,,,,
"上海微创心脉医疗科技股份有限公司",2012-08-17,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管支架,,,,,
"深圳市卓翼科技股份有限公司",2004-02-26,物联网,应用层,系统集成,智能家居系统,,,,,,
"深圳市卓翼科技股份有限公司",2004-02-26,人工智能,下游集成服务,系统集成,智能家居系统,,,,,,
"深圳市卓翼科技股份有限公司",2004-02-26,大数据,数据应用,SaaS服务,智能家居系统,,,,,,
"北京合众思壮科技股份有限公司",1998-09-30,物联网,感知层,感知硬件,无线通信集成模块,,,,,,
"北京合众思壮科技股份有限公司",1998-09-30,大数据,数据平台,数据采集系统,,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,无人驾驶,应用服务,停车信息,,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,物联网,应用层,系统集成,智能安防系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,物联网,应用层,系统集成,智慧交通系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,人工智能,下游集成服务,系统集成,智慧城市系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,人工智能,下游集成服务,系统集成,智慧交通系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,人工智能,下游集成服务,系统集成,智能安防系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,大数据,数据应用,SaaS服务,智慧城市系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,大数据,数据应用,SaaS服务,智慧交通系统,,,,,,
"深圳市捷顺科技实业股份有限公司",1992-06-17,大数据,数据应用,SaaS服务,智能安防系统,,,,,,
"青岛东软载波科技股份有限公司",1993-06-30,物联网,感知层,感知硬件,通信芯片,,,,,,
"上海保隆汽车科技股份有限公司",1997-05-20,无人驾驶,感知模块,环境感知模块,毫米波雷达,,,,,,
"上海保隆汽车科技股份有限公司",1997-05-20,无人驾驶,感知模块,环境感知模块,摄像头,,,,,,
"沈阳蓝英工业自动化装备股份有限公司",2004-09-29,人工智能,下游集成服务,终端设备,机器人,,,,,,
"北京利德曼生化股份有限公司",1997-11-05,医疗器械,医用设备,临床检验器械,血液学分析设备,,,,,,
"北京利德曼生化股份有限公司",1997-11-05,医疗器械,医用设备,临床检验器械,免疫分析设备,,,,,,
"北京利德曼生化股份有限公司",1997-11-05,医疗器械,医用设备,临床检验器械,生化分析设备,,,,,,
"北京利德曼生化股份有限公司",1997-11-05,医疗器械,医用设备,临床检验器械,生化分析设备,,,,,,
"北京利德曼生化股份有限公司",1997-11-05,生物制药,生物制品,体外诊断试剂,,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,物联网,应用层,系统集成,信息安全系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,物联网,应用层,系统集成,智慧教育系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,人工智能,下游集成服务,系统集成,云办公,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,人工智能,下游集成服务,系统集成,信息安全系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,人工智能,下游集成服务,系统集成,智慧传媒系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,人工智能,下游集成服务,系统集成,智慧营销系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,人工智能,下游集成服务,系统集成,智慧教育系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据应用,SaaS服务,云办公,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据应用,SaaS服务,信息安全系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据应用,SaaS服务,智慧传媒系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据应用,SaaS服务,智慧营销系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据应用,SaaS服务,智慧教育系统,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据平台,数据可视化系统,,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据平台,数据分析系统,,,,,,,
"北京市博汇科技股份有限公司",1993-04-01,大数据,数据平台,数据采集系统,,,,,,,
"青岛海尔生物医疗股份有限公司",2005-10-28,医疗器械,医用设备,医疗器械消毒灭菌器械,,,,,,,
"同方股份有限公司",1997-06-25,物联网,应用层,系统集成,智慧城市系统,,,,,,
"同方股份有限公司",1997-06-25,物联网,应用层,终端设备,电子标签,,,,,,
"同方股份有限公司",1997-06-25,人工智能,下游集成服务,终端设备,电子标签,,,,,,
"同方股份有限公司",1997-06-25,大数据,数据应用,SaaS服务,智慧教育系统,,,,,,
"同方股份有限公司",1997-06-25,大数据,基础设施,基础硬件,设备,IT设备,电子标签,,,,
"精伦电子股份有限公司",1994-12-14,物联网,应用层,系统集成,智慧医疗系统,,,,,,
"精伦电子股份有限公司",1994-12-14,物联网,应用层,系统集成,工业互联网系统,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,医疗器械消毒灭菌器械,,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,医学成像设备,X射线机,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,体外循环及输血透析设备,,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,医疗器械消毒灭菌设备,,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,放射治疗器械,,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,医疗器械,医用设备,口腔科器械,,,,,,,
"山东新华医疗器械股份有限公司",1993-04-18,生物制药,生物制品,体外诊断试剂,,,,,,,
"华灿光电股份有限公司",2005-11-08,半导体材料,半导体晶圆制造材料,外延片,,,,,,,
"华灿光电股份有限公司",2005-11-08,物联网,感知层,感知硬件,传感器,,,,,,
"华灿光电股份有限公司",2005-11-08,物联网,感知层,感知硬件,传感器,,,,,,
"华灿光电股份有限公司",2005-11-08,集成电路,上游材料设备,半导体材料,半导体晶圆制造材料,外延片,,,,,
"华灿光电股份有限公司",2005-11-08,集成电路,上游材料设备,半导体设备,测试设备,探针台,,,,,
"江西富祥药业股份有限公司",2002-03-20,生物制药,医药中间体,,,,,,,,
"江西富祥药业股份有限公司",2002-03-20,生物制药,化学制药,化学原料药,抗感染类原料药,抗生素原料药,,,,,
"杭州海兴电力科技股份有限公司",2001-07-06,物联网,应用层,终端设备,智能表计,,,,,,
"贝达药业股份有限公司",2003-01-07,生物制药,中药,中成药,骨伤科用中成药,,,,,,
"贝达药业股份有限公司",2003-01-07,生物制药,化学制药,化学制剂,抗肿瘤药物,小分子靶向药物,,,,,
"贝达药业股份有限公司",2003-01-07,生物制药,化学制药,化学制剂,神经系统药物,"精神安定药 ",,,,,
"上海晶丰明源半导体股份有限公司",2008-10-31,集成电路,中游设计,模拟电路,电源管理芯片,电机驱动芯片,,,,,
"上海晶丰明源半导体股份有限公司",2008-10-31,集成电路,中游设计,模拟电路,电源管理芯片,LED照明驱动芯片,,,,,
"启迪古汉集团股份有限公司",1993-03-25,生物制药,中药,中成药,补虚剂,,,,,,
"启迪古汉集团股份有限公司",1993-03-25,生物制药,中药,中成药,清热剂,,,,,,
"启迪古汉集团股份有限公司",1993-03-25,生物制药,中药,中成药,解表剂,,,,,,
"启迪古汉集团股份有限公司",1993-03-25,生物制药,中药,中成药,活血剂,,,,,,
"佛山佛塑科技集团股份有限公司",1988-06-28,医疗器械,医用耗材,低值医用耗材,医用卫生材料及辅料,医用口罩,医用防护口罩,,,,
"佛山佛塑科技集团股份有限公司",1988-06-28,石墨烯,下游应用,石墨烯粉体下游应用,负极材料,,,,,,
"佛山佛塑科技集团股份有限公司",1988-06-28,化工新材料,其他化工新材料,塑料薄膜,BOPP膜,,,,,,
"佛山佛塑科技集团股份有限公司",1988-06-28,化工新材料,高性能膜材料,电池膜,锂电池隔膜,,,,,,
"马应龙药业集团股份有限公司",1994-05-09,生物制药,中药,中成药,外科和皮肤科用中成药,,,,,,
"马应龙药业集团股份有限公司",1994-05-09,生物制药,中药,中成药,清热剂,,,,,,
"马应龙药业集团股份有限公司",1994-05-09,生物制药,化学制药,化学制剂,呼吸系统药物,"化痰止咳平喘药 ",,,,,
