"parent_company_name"	"company_name"	"estiblish_time"
"杭州迪安医学检验中心有限公司"	"福州迪安医学检验实验室有限公司"	"2016/3/10"
"勤上光电股份有限公司"	"东莞市昺晟光电有限公司"	"2018/5/23"
"顶立新材料科技有限公司"	"四川顶立胶业有限公司"	"2012/4/10"
"上海通导遥企业发展有限公司"	"南京通导遥人工智能科技研究院有限公司"	"2020/5/20"
"九次方大数据信息集团有限公司"	"荆州荆九云信息技术有限公司"	"2018/12/13"
"深圳用通京造智能电子有限公司"	"深圳百进洋科技有限公司"	"2019/9/17"
"徐州天成氯碱有限公司"	"徐州隆天硅业有限公司"	"2008/11/4"
"深圳市一体医疗科技有限公司"	"西安一体医疗科技有限公司"	"1998-04-28"
"洛阳科博思新材料科技有限公司"	"洛阳兴隆新材料科技有限公司"	"2016/6/13"
"吉林炭素有限公司"	"吉林国兴碳纤维有限公司"	"2008/12/12"
"常熟阿特斯阳光电力科技有限公司"	"常熟特固新材料科技有限公司"	"2014/9/2"
"广东德冠薄膜新材料股份有限公司"	"广东德冠包装材料有限公司"	"2001/6/4"
"新疆盐湖化工厂"	"新疆盐湖化工厂"	"1984/7/27"
"天津泰伦特化学有限公司"	"泰伦特生物工程股份有限公司"	"2011/9/13"
"西安天元化工有限责任公司"	"安徽天元创涂新材料科技有限公司"	"2019/8/29"
"深圳市唯传科技有限公司"	"深圳市腾传物联技术有限公司"	"2019/5/22"
"包头盈德气体有限公司"	"雅安盈德特种气体有限公司"	"2014/1/7"
"四川兵港信息安全技术产业有限公司"	"四川巨亿智能工业大数据技术有限公司"	"2019/8/6"
"南通星辰合成材料有限公司"	"南通中蓝工程塑胶有限公司"	"2003/1/23"
"浙江菜鸟供应链管理有限公司"	"深圳市速腾聚创科技有限公司"	"2014/8/28"
"青岛有住投资控股有限公司"	"青岛有住启迪智能家居有限公司"	"2017/9/29"
"华君置业集团有限公司"	"句容中友光伏科技有限公司"	"2015/5/18"
"江苏华益科技有限公司"	"湖北华益制药有限公司"	"2017/9/27"
"深圳市京中康科技有限公司"	"湖南京中康科技有限公司"	"2012/12/12"
"天津市长峰信创发展有限公司"	"天津市长峰安可技术有限公司"	"2020/5/7"
"重庆甲骨金文大数据有限公司"	"重庆金文档案管理服务有限公司"	"2019/10/25"
"重庆市华佳宏科技有限公司"	"重庆市华佳宏科技有限公司深圳分公司"	"2017/5/31"
"成都贡渣银行石墨烯国际贸易有限公司"	"成都贡渣银行香江实业有限公司"	"2017/1/11"
"江苏和达电子科技有限公司"	"四川和晟达电子科技有限公司"	"2017/9/8"
"杭州迪安医学检验中心有限公司"	"佛山迪安医学检验实验室有限公司"	"2012/4/11"
"江苏中能硅业科技发展有限公司"	"苏州协鑫光伏科技有限公司"	"2010/5/13"
"深圳日海物联技术有限公司"	"福建日海物联网技术有限公司"	"2019/5/17"
"盐城大丰科四光伏电力有限公司"	"盐城市大丰区学四新能源发电有限公司"	"2018/4/18"
"南通扬子碳素股份有限公司"	"乌兰察布市旭峰炭素科技有限公司"	"2017/9/13"
"天津天士力现代中药资源有限公司"	"陕西天士力植物药业有限责任公司"	"1998/11/4"
"湖南康普图医疗电子科技有限公司"	"湖南康普图智培医疗设备有限公司"	"2018-06-20"
"四川浩普瑞新能源材料股份有限公司"	"内蒙古浩普瑞新能源材料有限公司"	"2016/3/30"
"山西九州通医药有限公司"	"临汾九州通医药有限公司"	"2013/10/25"
"先声体育产业有限责任公司"	"先先股份有限公司"	"2019/12/20"
"鞍山市建设投资集团有限公司"	"鞍山云投科技有限公司"	"2016/12/16"
"拓恒技术有限公司"	"南京拓恒信息技术有限公司"	"2018/11/13"
"江苏有线数据网络有限责任公司"	"丹阳市智慧城市投资建设有限公司"	"2017/7/17"
"南通天丰电子新材料有限公司"	"江苏新天丰电池材料有限公司"	"2016/5/3"
"昌都市亿鑫实业有限公司"	"昌都市林亿新能源开发有限公司"	"2016/9/29"
"四川贡渣银行石墨烯科技有限公司"	"成都贡渣银行联星置业有限公司"	"2016/12/29"
"河南云政数据管理有限公司"	"河南云数聚网络科技有限公司"	"2018/8/28"
"中国华戎科技集团有限公司"	"山东戎云数据技术有限公司"	"2020/4/30"
"苏州国云数据科技有限公司"	"北京国云顶集数据科技有限公司"	"2016/5/4"
"武汉双虎建筑涂料有限公司"	"湖北双虎涂装工程有限公司"	"2003/1/27"
"齐齐哈尔华安工业有限责任公司"	"齐齐哈尔华安特种容器有限公司"	"2005/5/18"
"成都数康科技有限公司"	"成都启迪数字医疗科技发展有限公司"	"2018/1/19"
"昆山丘钛微电子科技有限公司"	"深圳市丘钛微电子科技有限公司"	"2015/6/19"
"湖南皓志新材料股份有限公司"	"湖南博皓新材料有限公司"	"2014/5/14"
"四川蜀羊防水材料有限公司"	"江西蜀羊防水材料有限公司"	"2016/10/31"
"上海世浦泰膜科技有限公司"	"海天世浦泰膜科技股份有限公司"	"2017/3/29"
"惠州高盛达科技有限公司"	"惠州高盛达智联科技有限公司"	"2016/12/26"
"中科生物制药股份有限公司"	"平度市中盈科单采血浆有限公司"	"2018/6/7"
