"机构名称(中文)"	"机构ID"	"ID"	"years"
"牡丹江恒丰纸业股份有限公司"	"03129951"	"QKC20192019041900013161"	"2019"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019041900014156"	"2019"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019041900049704"	"2019"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019041900051567"	"2019"
"深圳华大基因股份有限公司"	"T000152931"	"QKC20192019041900089798"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019041900105402"	"2019"
"江苏张家港农村商业银行股份有限公司"	"T000035194"	"QKC20192019041900106309"	"2019"
"江苏张家港农村商业银行股份有限公司"	"T000035194"	"QKC20192019041900106321"	"2019"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019041900133861"	"2019"
"江西联创光电科技股份有限公司"	"03129987"	"QKC20192019041900136117"	"2019"
"浙江闰土股份有限公司"	"03147683"	"QKC20192019041900147680"	"2019"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019041900163114"	"2019"
"贵州省广播电视信息网络股份有限公司"	"T000122551"	"QKC20192019041900163711"	"2019"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019042500016384"	"2019"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019042500022633"	"2019"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019042500022921"	"2019"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019042500025871"	"2019"
"北京国联视讯信息技术股份有限公司"	"T000200848"	"QKC20192019042500029089"	"2019"
"江苏新美星包装机械股份有限公司"	"T000117963"	"QKC20192019042500029466"	"2019"
"三维通信股份有限公司"	"03133283"	"QKC20192019042500087231"	"2019"
"苏州晶瑞化学股份有限公司"	"T000281796"	"QKC20192019042500094869"	"2019"
"安徽皖通高速公路股份有限公司"	"03129991"	"QKC20192019042500098177"	"2019"
"福建龙净环保股份有限公司"	"03129946"	"QKC20192019042500101310"	"2019"
"康力电梯股份有限公司"	"T000026785"	"QKC20192019042500103083"	"2019"
"杭州中威电子股份有限公司"	"T000052453"	"QKC20192019042500108379"	"2019"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019042500125931"	"2019"
"杭州星帅尔电器股份有限公司"	"T000058631"	"QKC20192019043000017094"	"2019"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019043000023900"	"2019"
"浙江三花智能控制股份有限公司"	"03131130"	"QKC20192019043000028599"	"2019"
"福建漳州发展股份有限公司"	"01000753"	"QKC20192019043000042303"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019043000055324"	"2019"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019043000060632"	"2019"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019043000068831"	"2019"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019043000123654"	"2019"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019043000142549"	"2019"
"启明信息技术股份有限公司"	"03134691"	"QKC20192019043000143459"	"2019"
"深南电路股份有限公司"	"T003080042"	"QKC20192019043000144984"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019043000160580"	"2019"
"太极计算机股份有限公司"	"T000026778"	"QKC20192019043000173107"	"2019"
"浙江天正电气股份有限公司"	"Q0000F34E5"	"QKC20192019050800000646"	"2019"
"北京易华录信息技术股份有限公司"	"T000042989"	"QKC20192019050800001931"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019050800100036"	"2019"
"河南易成新能源股份有限公司"	"T000027203"	"QKC20192019050800132953"	"2019"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019051600006653"	"2019"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019051600008129"	"2019"
"中国汽车工程研究院股份有限公司"	"T000056581"	"QKC20192019051600028684"	"2019"
"烟台东诚药业集团股份有限公司"	"T000056583"	"QKC20192019051600031405"	"2019"
"沈阳机床股份有限公司"	"01000410"	"QKC20192019051600035002"	"2019"
"东华工程科技股份有限公司"	"03133790"	"QKC20192019051600036103"	"2019"
"上海张江高科技园区开发股份有限公司"	"02600895"	"QKC20192019051600050934"	"2019"
"宁波柯力传感科技股份有限公司"	"T003004992"	"QKC20192019051600057018"	"2019"
"东华工程科技股份有限公司"	"03133790"	"QKC20192019051600057360"	"2019"
"威海光威复合材料股份有限公司"	"T000271183"	"QKC20192019051600059123"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019051600060763"	"2019"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019051600063700"	"2019"
"山东大正医疗器械股份有限公司"	"T000141574"	"QKC20192019051600094367"	"2019"
"三维通信股份有限公司"	"03133283"	"QKC20192019051600101534"	"2019"
"陕西广电网络传媒(集团)股份有限公司"	"02600831"	"QKC20192019051600103750"	"2019"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019051600105330"	"2019"
"西部超导材料科技股份有限公司"	"T000027183"	"QKC20192019051600111382"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019051600118523"	"2019"
"中国武夷实业股份有限公司"	"01000797"	"QKC20192019051600140008"	"2019"
"武汉理工光科股份有限公司"	"T000110802"	"QKC20192019052200000632"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019052200001757"	"2019"
"厦门盈趣科技股份有限公司"	"T000145840"	"QKC20192019052200010691"	"2019"
"浙江伟星新型建材股份有限公司"	"T000026771"	"QKC20192019052200011363"	"2019"
"中信出版集团股份有限公司"	"T000189247"	"QKC20192019052200014416"	"2019"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019052200020476"	"2019"
"广西广播电视信息网络股份有限公司"	"T000085863"	"QKC20192019052200031292"	"2019"
"北京东方园林环境股份有限公司"	"T000026089"	"QKC20192019052200046732"	"2019"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019052200061283"	"2019"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019052200067925"	"2019"
"岳阳兴长石化股份有限公司"	"01000819"	"QKC20192019052200086210"	"2019"
"河南易成新能源股份有限公司"	"T000027203"	"QKC20192019052200089605"	"2019"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019052200098789"	"2019"
"国电南京自动化股份有限公司"	"02600268"	"QKC20192019052200103361"	"2019"
"筑博设计股份有限公司"	"T000152620"	"QKC20192019052200104444"	"2019"
"齐峰新材料股份有限公司"	"T000028391"	"QKC20192019052200123448"	"2019"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019052200132053"	"2019"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019052200133098"	"2019"
"深圳能源集团股份有限公司"	"01000027"	"QKC20192019052200137607"	"2019"
"澳柯玛股份有限公司"	"03129945"	"QKC20192019052200140891"	"2019"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019052200147328"	"2019"
"西安曲江文化旅游股份有限公司"	"02600706"	"QKC20192019052900008388"	"2019"
"多氟多化工股份有限公司"	"T000026581"	"QKC20192019052900048872"	"2019"
"浙江新和成股份有限公司"	"03130754"	"QKC20192019052900099371"	"2019"
"珠海格力电器股份有限公司"	"01000651"	"QKC20192019052900099720"	"2019"
"东软集团股份有限公司"	"02600718"	"QKC20192019052900108764"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019052900109682"	"2019"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019060500008442"	"2019"
"广西博世科环保科技股份有限公司"	"T000059619"	"QKC20192019060500031118"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019060500044524"	"2019"
"陕西建设机械股份有限公司"	"03130779"	"QKC20192019060500047136"	"2019"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019060500050368"	"2019"
"安徽全柴动力股份有限公司"	"02600218"	"QKC20192019060500060174"	"2019"
"成都苑东生物制药股份有限公司"	"T000285546"	"QKC20192019060500074745"	"2019"
"陕西广电网络传媒(集团)股份有限公司"	"02600831"	"QKC20192019060500085663"	"2019"
"人民网股份有限公司"	"T000028053"	"QKC20192019060500117754"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019061200006632"	"2019"
"安徽全柴动力股份有限公司"	"02600218"	"QKC20192019061200067022"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019061200070716"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019061200092262"	"2019"
"传化智联股份有限公司"	"03130771"	"QKC20192019061800001094"	"2019"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019061800001111"	"2019"
"北京万东医疗科技股份有限公司"	"02600055"	"QKC20192019061800003389"	"2019"
"河南森源电气股份有限公司"	"00205296"	"QKC20192019061800010794"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019061800071720"	"2019"
"浙江巨化股份有限公司"	"02600160"	"QKC20192019061800078572"	"2019"
"安徽安凯汽车股份有限公司"	"01000868"	"QKC20192019062600006352"	"2019"
"武汉农尚环境股份有限公司"	"T000138986"	"QKC20192019062600023066"	"2019"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019062600023866"	"2019"
"宁波柯力传感科技股份有限公司"	"T003004992"	"QKC20192019062600026842"	"2019"
"杭州华光焊接新材料股份有限公司"	"T000060152"	"QKC20192019062600031507"	"2019"
"上海新阳半导体材料股份有限公司"	"T000044687"	"QKC20192019062600054170"	"2019"
"北方导航控制技术股份有限公司"	"03130418"	"QKC20192019062600054757"	"2019"
"山西兰花科技创业股份有限公司"	"02600123"	"QKC20192019062600057586"	"2019"
"山西焦化股份有限公司"	"02600740"	"QKC20192019062600075145"	"2019"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019062600082652"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019062600085432"	"2019"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019062600099499"	"2019"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019062600101530"	"2019"
"重庆新大正物业集团股份有限公司"	"T000810694"	"QKC20192019062600122559"	"2019"
"华纺股份有限公司"	"03130027"	"QKC20192019070800014979"	"2019"
"中国科技出版传媒股份有限公司"	"T000062927"	"QKC20192019070800017664"	"2019"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019070800049163"	"2019"
"贵州航天电器股份有限公司"	"03130800"	"QKC20192019070800049778"	"2019"
"新疆金风科技股份有限公司"	"03134303"	"QKC20192019070800055647"	"2019"
"上海建工集团股份有限公司"	"02600170"	"QKC20192019070800055749"	"2019"
