"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"沈阳化工股份有限公司"	"01000698"	"CN101230212B"	"20120822"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101236421A"	"20080806"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101236421B"	"20101006"
"中国西电电气股份有限公司"	"T000025764"	"CN101236832B"	"20100929"
"西安标准工业股份有限公司"	"02600302"	"CN101250684A"	"20080827"
"中国西电电气股份有限公司"	"T000025764"	"CN101269414B"	"20100929"
"中国西电电气股份有限公司"	"T000025764"	"CN101314985A"	"20081203"
"中国西电电气股份有限公司"	"T000025764"	"CN101314985B"	"20100602"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101319687A"	"20081210"
"中国西电电气股份有限公司"	"T000025764"	"CN101320647A"	"20081210"
"中国西电电气股份有限公司"	"T000025764"	"CN101320647B"	"20120321"
"中国西电电气股份有限公司"	"T000025764"	"CN101320648A"	"20081210"
"中国西电电气股份有限公司"	"T000025764"	"CN101320648B"	"20120201"
"中国西电电气股份有限公司"	"T000025764"	"CN101339221A"	"20090107"
"中国西电电气股份有限公司"	"T000025764"	"CN101339221B"	"20100623"
"中国西电电气股份有限公司"	"T000025764"	"CN101339846A"	"20090107"
"中国西电电气股份有限公司"	"T000025764"	"CN101339846B"	"20110323"
"沈阳机床股份有限公司"	"01000410"	"CN101342660A"	"20090114"
"东软集团股份有限公司"	"02600718"	"CN101344926A"	"20090114"
"东软集团股份有限公司"	"02600718"	"CN101344926B"	"20120425"
"金堆城钼业股份有限公司"	"03134603"	"CN101347839A"	"20090121"
"金堆城钼业股份有限公司"	"03134603"	"CN101348298A"	"20090121"
"金堆城钼业股份有限公司"	"03134603"	"CN101348298B"	"20100623"
"西部金属材料股份有限公司"	"03133852"	"CN101352738A"	"20090128"
"金堆城钼业股份有限公司"	"03134603"	"CN101352756A"	"20090128"
"金堆城钼业股份有限公司"	"03134603"	"CN101352758A"	"20090128"
