"机构名称(中文)"	"机构ID"	"ID"	"publish_date"
"中泰证券股份有限公司"	"00087990"	"HYC201912160000001106"	"2019"
"海通证券股份有限公司"	"02600837"	"HYC201912160000001269"	"2019"
"方正证券股份有限公司"	"00083981"	"HYC201912160000005008"	"2019"
"中泰证券股份有限公司"	"00087990"	"HYC201912160000005809"	"2019"
"长江证券股份有限公司"	"01000783"	"HYC201912160000005857"	"2019"
"国泰君安证券股份有限公司"	"03131099"	"HYC201912160000008100"	"2019"
"国泰君安证券股份有限公司"	"03131099"	"HYC201912160000008555"	"2019"
"科大讯飞股份有限公司"	"03134688"	"HYC201912300000000134"	"2019"
"深圳市建筑科学研究院股份有限公司"	"T000242172"	"HYC201912300000003803"	"2019"
"海南矿业股份有限公司"	"T000058761"	"HYC201912300000004168"	"2019"
"中设设计集团股份有限公司"	"T000058810"	"HYC201912300000011789"	"2019"
"新天科技股份有限公司"	"T000048610"	"HYC202001130000003913"	"2019"
"重庆燃气集团股份有限公司"	"T000058773"	"HYC202001130000004597"	"2019"
"国泰君安证券股份有限公司"	"03131099"	"HYC202001130000005086"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"HYC202001130000005148"	"2019"
"重庆长安汽车股份有限公司"	"01000625"	"HYC202003160000006483"	"2019"
"重庆燃气集团股份有限公司"	"T000058773"	"HYC202003160000012954"	"2019"
"中国建材检验认证集团股份有限公司"	"T000125450"	"HYC202004010000002456"	"2019"
"北新集团建材股份有限公司"	"01000786"	"HYC202004270000001837"	"2019"
"珠海格力电器股份有限公司"	"01000651"	"HYC202004270000001986"	"2019"
"国电南瑞科技股份有限公司"	"03130492"	"HYC202006100000000318"	"2019"
"聚光科技(杭州)股份有限公司"	"T000034390"	"HYC202006100000001469"	"2017"
"上海新阳半导体材料股份有限公司"	"T000044687"	"HYCIC201407170000001464"	"2013"
"太极计算机股份有限公司"	"T000026778"	"HYEC1_000000366663"	"2012"
"东华软件股份公司"	"03131973"	"HYW201308120000020068"	"20121000"
"上海国际港务(集团)股份有限公司"	"02600018"	"HYW201311070000040889"	"20121200"
"航天信息股份有限公司"	"03130421"	"HYW201311260000007485"	"20120900"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"HYW201404300000015283"	"20091211"
"株洲时代新材料科技股份有限公司"	"03130221"	"HYW201412030000007573"	"20130905"
"上海宝信软件股份有限公司"	"02600845"	"HYW201412030000015169"	"20111102"
"陕西广电网络传媒(集团)股份有限公司"	"02600831"	"HYW201501070000004373"	"20140525"
"华帝股份有限公司"	"03130837"	"HYW201501070000008947"	"20140800"
"北京超图软件股份有限公司"	"T000026114"	"HYW201505130000014927"	"20141103"
"山东新华医疗器械股份有限公司"	"03130186"	"HYW201609280000003000"	"20141202"
"深圳顺络电子股份有限公司"	"03145147"	"HYW201706070000000294"	"20140918"
"阳光电源股份有限公司"	"T000053267"	"HYW201706070000000343"	"20140918"
"万达信息股份有限公司"	"T000029069"	"HYW201707110000005227"	"20121116"
"宁波戴维医疗器械股份有限公司"	"T000056517"	"HYW201711020000000400"	"20151100"
"宁波康强电子股份有限公司"	"03133306"	"HYW201712060000019273"	"20150822"
"软控股份有限公司"	"03132080"	"HYW201802060000004459"	"20160500"
"中芯国际集成电路制造有限公司"	"T000001188"	"HYW201805150000005192"	"20141000"
"万华化学集团股份有限公司"	"03129949"	"HYW201805150000007856"	"20141016"
"北京易华录信息技术股份有限公司"	"T000042989"	"HYW201806270000014578"	"20171122"
"山东新华医疗器械股份有限公司"	"03130186"	"HYW201806270000018869"	"20160415"
"上海新阳半导体材料股份有限公司"	"T000044687"	"HYW201808210000019191"	"20141217"
"新希望六和股份有限公司"	"01000876"	"HYW201809110000014793"	"20151200"
"中芯国际集成电路制造有限公司"	"T000001188"	"HYW201903120000005798"	"20150801"
"中国海诚工程科技股份有限公司"	"03133296"	"HYW201904290000041597"	"20131113"
"华润微电子有限公司"	"T000001400"	"HYW201905140000001214"	"20171000"
"山东华鲁恒升化工股份有限公司"	"03130131"	"HYW201905140000021152"	"20150700"
"浙江大华技术股份有限公司"	"03134713"	"HYW201912170000014970"	"20190628"
"科大讯飞股份有限公司"	"03134688"	"HYW202005130000013959"	"20190700"
"重庆燃气集团股份有限公司"	"T000058773"	"HYW202005130000014550"	"20190828"
"重庆燃气集团股份有限公司"	"T000058773"	"HYW202005130000016066"	"20190828"
"中衡设计集团股份有限公司"	"T000059834"	"HYW202007170000010617"	"20160500"
"新疆交通建设集团股份有限公司"	"T000117702"	"HYW202007170000025120"	"20171130"
"北汽福田汽车股份有限公司"	"02600166"	"HYW202008200000002828"	"20171024"
"上海新时达电气股份有限公司"	"T000028130"	"HYW202008200000027781"	"20171107"
"国泰君安证券股份有限公司"	"03131099"	"HYW202009100000008545"	"20191100"
