35154	12	35	13	6	35	33	12	16	30	31	36	9	14	15	32	11	8	18	10	7	17	34	5	26	39	38	42	37	28	41	29	21	40	1	22	19	2	25	27	
26531	12	25	25	23	29	1	4	26	28	27	24	22	3	0	2	19	17	18	11	30	12	16	6	31	34	39	37	35	8	21	15	38	42	5	13	33	32	7	40	
40326	12	38	38	39	40	37	42	41	31	26	11	17	6	12	15	16	30	18	22	1	8	13	0	4	34	21	29	33	36	27	28	7	23	32	14	35	10	2	19	
40323	12	39	39	40	38	42	37	41	30	31	17	12	15	11	14	26	18	13	6	1	8	16	4	19	34	0	33	29	21	22	10	32	2	7	5	28	27	23	36	
54205	12	25	27	26	19	23	4	25	3	0	2	29	1	28	17	22	24	18	11	30	21	16	31	38	6	34	10	12	32	5	40	37	35	7	39	36	33	8	42	
21104	12	4	4	27	26	29	25	28	24	1	23	19	3	2	0	17	22	18	16	11	6	38	31	12	40	39	37	30	35	8	33	14	10	36	34	21	5	15	7	
36089	12	29	29	28	27	26	1	4	23	25	19	2	3	0	18	22	17	24	11	16	21	38	30	8	39	31	34	12	37	6	40	35	7	36	10	33	5	32	15	
54557	12	27	27	29	1	25	19	23	4	28	3	24	2	18	26	17	0	22	16	11	21	12	31	33	30	38	6	10	36	32	5	35	40	37	34	39	15	7	8	
11533	12	12	12	18	8	16	30	13	17	33	6	31	11	7	15	10	5	9	39	42	26	38	21	32	14	35	36	34	41	40	37	19	1	0	22	29	28	23	20	
40495	12	4	4	29	1	28	3	26	27	25	2	0	23	24	19	22	17	18	16	38	31	40	39	30	11	6	37	34	35	5	12	32	33	8	42	21	36	10	41	
40305	12	16	16	18	12	21	17	20	35	11	6	31	19	30	10	33	27	26	7	15	13	8	23	38	29	34	39	9	5	36	28	37	22	1	32	14	25	42	0	
38774	12	3	3	1	29	4	28	24	26	27	0	25	2	23	19	22	17	18	11	30	16	37	38	34	39	12	6	33	8	31	32	40	35	5	10	21	36	13	15	
25736	12	33	33	31	16	32	30	12	11	35	15	13	36	8	7	18	17	10	6	5	34	26	9	39	22	14	42	28	38	1	19	37	21	29	0	40	2	27	25	
31653	12	19	19	18	21	27	17	29	28	26	12	1	30	23	38	11	16	2	25	6	0	22	4	33	37	31	40	20	39	36	7	15	35	32	13	3	5	8	42	
35896	12	28	27	29	19	23	26	28	25	1	17	4	21	24	18	3	2	0	22	16	11	12	34	30	38	6	35	13	37	31	36	8	20	33	39	32	15	40	7	
36997	12	38	38	39	40	37	42	12	41	16	30	11	6	31	33	17	18	26	14	15	21	7	22	8	1	13	5	27	29	0	10	32	34	19	25	2	35	28	4	
36484	12	29	29	28	27	26	19	1	25	23	4	2	3	24	17	0	18	11	22	16	38	30	40	6	31	39	12	21	35	37	32	34	42	36	8	33	15	10	5	
26987	12	19	19	27	18	29	1	17	26	23	28	4	21	25	3	2	0	24	22	16	12	38	11	30	6	31	40	33	5	10	37	39	35	32	34	36	20	13	7	
27185	12	18	21	19	18	17	27	23	29	28	1	26	12	25	20	2	0	22	4	30	3	11	16	6	5	38	34	37	24	33	13	31	7	15	36	32	39	40	8	
39290	12	18	16	18	12	31	10	33	9	6	11	13	30	7	35	17	8	15	14	26	32	5	36	38	21	42	29	34	1	40	39	28	22	37	4	0	27	19	25	
21124	12	25	0	1	29	23	2	22	25	26	27	28	3	4	17	24	19	16	18	30	34	11	37	5	40	31	21	6	39	38	7	12	33	42	8	15	35	10	36	
38941	12	1	1	3	29	4	0	28	25	2	26	27	23	24	19	22	17	16	31	18	12	11	40	38	6	37	35	39	33	30	32	8	10	34	5	42	13	15	21	
16164	12	1	29	0	25	1	2	3	4	23	28	27	26	22	24	17	19	30	18	38	34	6	16	12	40	11	37	21	31	39	5	42	13	10	8	14	35	41	36	
20243	12	33	6	33	5	12	10	13	11	16	31	8	32	30	7	18	15	14	35	17	9	36	39	26	34	38	42	37	22	28	41	29	1	0	25	2	40	27	4	
40183	12	13	13	33	9	31	12	11	16	32	35	36	30	8	6	10	18	15	14	7	5	26	17	34	22	39	42	38	28	37	2	19	23	25	29	1	0	40	21	
26423	12	23	23	25	4	1	28	24	29	19	3	2	22	27	0	26	17	18	30	16	34	38	35	11	21	12	6	37	31	5	36	39	13	40	42	33	14	32	15	
10446	12	25	23	25	29	1	28	27	4	24	26	3	19	22	2	0	17	18	16	31	6	11	37	35	38	34	40	30	39	12	8	21	33	15	36	42	13	7	32	
33012	12	12	21	17	30	18	12	26	6	16	13	8	19	22	11	25	38	39	31	28	27	34	1	15	37	42	33	7	0	29	10	23	32	40	5	36	35	2	4	
11904	12	1	4	1	3	0	25	2	28	24	23	26	29	17	22	27	19	37	18	11	5	16	6	30	38	39	12	31	34	8	40	10	21	42	7	32	13	33	35	
