22525	12	33	33	13	32	31	30	12	16	36	35	9	11	5	6	15	34	8	18	17	7	10	26	14	22	19	0	27	1	2	39	38	23	25	29	21	37	28	42	
25125	12	31	33	32	31	30	16	13	36	12	15	35	6	11	7	5	10	34	17	8	18	9	26	22	1	14	42	0	25	29	39	19	28	23	27	37	43	2	38	
24993	12	31	32	13	33	31	30	12	16	35	36	5	9	6	11	10	8	15	17	26	18	34	7	1	19	29	0	22	27	14	25	2	4	23	3	28	39	42	43	
24958	12	33	33	16	32	12	31	30	13	11	36	35	18	10	5	7	6	15	8	34	17	9	19	26	14	42	1	22	0	27	39	21	20	29	2	25	37	38	28	
25102	12	33	33	31	32	30	16	12	11	13	36	5	34	6	15	7	35	22	10	17	26	1	0	18	8	25	9	19	2	14	42	23	29	3	28	27	37	39	21	
25462	12	32	32	33	31	30	16	13	35	36	12	11	15	6	8	10	5	7	34	17	18	9	26	14	22	19	0	1	39	27	42	29	28	2	25	38	37	23	43	
25590	12	23	25	23	29	22	4	28	1	27	3	19	24	0	26	2	17	18	36	34	30	31	21	13	32	16	12	6	38	11	33	5	35	39	37	40	42	15	8	
25734	12	25	25	23	29	27	24	3	4	28	1	19	26	22	0	2	17	18	36	34	31	35	30	32	16	21	13	6	38	39	37	11	12	43	33	40	5	42	8	
26242	12	23	23	25	2	4	24	1	3	27	29	22	28	19	0	26	17	18	21	31	30	36	38	34	5	13	32	39	35	37	12	8	16	6	11	33	14	40	41	
26167	12	25	25	23	29	1	4	27	3	28	0	26	22	24	19	2	17	30	18	34	32	36	31	5	6	13	21	16	38	8	33	12	35	39	37	10	40	11	7	
26423	12	23	23	25	4	1	27	28	3	29	24	22	19	0	2	26	17	18	30	36	21	34	31	32	5	38	16	13	12	35	6	39	37	33	11	42	40	14	7	
26611	12	23	23	25	22	27	1	4	29	3	19	28	26	0	24	17	2	30	21	18	31	36	34	38	32	37	5	42	12	13	16	11	43	6	40	39	33	35	7	
26779	12	23	23	25	27	29	1	26	4	24	19	28	22	3	0	2	17	32	30	18	31	33	36	21	34	13	6	16	5	12	35	38	11	39	37	43	10	8	40	
26804	12	25	25	29	4	23	27	1	28	0	3	22	26	24	19	2	17	18	31	32	30	34	16	36	6	21	38	33	5	12	11	13	35	37	39	40	7	42	10	
26686	12	19	29	27	28	26	4	25	1	23	19	3	0	24	2	22	17	18	30	34	36	32	31	38	6	5	12	11	16	13	33	39	37	21	7	42	40	35	10	
26812	12	19	25	19	23	27	4	1	29	3	28	24	0	2	22	26	17	21	18	30	36	34	31	32	20	12	38	11	35	16	5	6	13	37	33	39	40	43	8	
27127	12	19	19	27	18	29	28	23	17	1	26	21	25	4	3	0	2	22	20	24	12	16	30	31	32	36	6	34	13	38	33	5	11	39	10	35	40	42	37	
27216	12	18	19	27	21	17	18	23	29	25	1	28	26	22	4	0	24	3	2	30	34	20	38	31	36	32	12	11	13	16	5	6	33	37	7	40	35	39	42	
27006	12	18	26	29	17	22	0	25	27	1	23	19	4	28	3	2	18	30	31	12	13	16	24	38	34	39	36	6	5	42	11	21	40	32	37	33	43	35	15	
27208	12	19	19	21	18	17	27	20	23	1	26	25	0	22	12	28	29	3	4	2	30	32	31	24	34	16	6	38	33	11	13	5	35	36	8	40	7	39	15	
